study_id,subject_id,source_database,source_accession,source_url,publication_doi,publication_pmid,intervention_type,probiotic_species,probiotic_strain,number_of_strains,total_CFU_per_day,log10_CFU_per_day,strain_specific_CFU,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,placebo_type
PMID:38999802,needs_manual_extraction,PubMed,38999802,https://pubmed.ncbi.nlm.nih.gov/38999802/,10.3390/nu16132055,38999802,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:39574069,needs_manual_extraction,PubMed,39574069,https://pubmed.ncbi.nlm.nih.gov/39574069/,10.1186/s12916-024-03744-x,39574069,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:39117856,needs_manual_extraction,PubMed,39117856,https://pubmed.ncbi.nlm.nih.gov/39117856/,10.1007/s11695-024-07437-5,39117856,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:39298907,needs_manual_extraction,PubMed,39298907,https://pubmed.ncbi.nlm.nih.gov/39298907/,10.1016/j.dsx.2024.103118,39298907,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT05908474,needs_manual_extraction,ClinicalTrials.gov,NCT05908474,https://clinicaltrials.gov/study/NCT05908474,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT07492485,needs_manual_extraction,ClinicalTrials.gov,NCT07492485,https://clinicaltrials.gov/study/NCT07492485,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT06030999,needs_manual_extraction,ClinicalTrials.gov,NCT06030999,https://clinicaltrials.gov/study/NCT06030999,,,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT07448220,needs_manual_extraction,ClinicalTrials.gov,NCT07448220,https://clinicaltrials.gov/study/NCT07448220,,,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT07452757,needs_manual_extraction,ClinicalTrials.gov,NCT07452757,https://clinicaltrials.gov/study/NCT07452757,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT06035718,needs_manual_extraction,ClinicalTrials.gov,NCT06035718,https://clinicaltrials.gov/study/NCT06035718,,,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:37929031,needs_manual_extraction,PubMed,37929031,https://pubmed.ncbi.nlm.nih.gov/37929031/,10.3389/fendo.2023.1237882,37929031,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:37875559,needs_manual_extraction,PubMed,37875559,https://pubmed.ncbi.nlm.nih.gov/37875559/,10.1038/s41598-023-45395-7,37875559,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:37239916,needs_manual_extraction,PubMed,37239916,https://pubmed.ncbi.nlm.nih.gov/37239916/,10.3390/ijms24108567,37239916,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT05002153,needs_manual_extraction,ClinicalTrials.gov,NCT05002153,https://clinicaltrials.gov/study/NCT05002153,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:36435795,needs_manual_extraction,PubMed,36435795,https://pubmed.ncbi.nlm.nih.gov/36435795/,10.1186/s13063-022-06922-5,36435795,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:35845797,needs_manual_extraction,PubMed,35845797,https://pubmed.ncbi.nlm.nih.gov/35845797/,10.3389/fnut.2022.898037,35845797,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:35264213,needs_manual_extraction,PubMed,35264213,https://pubmed.ncbi.nlm.nih.gov/35264213/,10.1186/s13073-022-01015-z,35264213,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:35807808,needs_manual_extraction,PubMed,35807808,https://pubmed.ncbi.nlm.nih.gov/35807808/,10.3390/nu14132627,35807808,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:35126309,needs_manual_extraction,PubMed,35126309,https://europepmc.org/article/MED/35126309,10.3389/fendo.2021.790046,35126309,needs_manual_extraction,Lactobacillus plantarum,K50,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT05459909,needs_manual_extraction,ClinicalTrials.gov,NCT05459909,https://clinicaltrials.gov/study/NCT05459909,,,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
