species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism
Bacteroides_faecis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_020091505.1,Complete Genome,Bacteroides faecis
Oscillibacter_sp_PC13,Oscillibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0023,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Clostridium_sp_CAG_167,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0017,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Desulfovibrionaceae_bacterium,Desulfovibrionaceae,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0017,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Firmicutes_bacterium_CAG_94,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0014,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Clostridium_symbiosum,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0012,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_040267475.1,Complete Genome,[Clostridium] symbiosum
Anaerotruncus_colihominis,Anaerotruncus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0011,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025146135.1,Complete Genome,Anaerotruncus colihominis
Firmicutes_bacterium_CAG_145,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0009,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Gemella_sanguinis,Gemella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0007,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_053758955.1,Contig,Gemella sanguinis
Bifidobacterium_bifidum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,1.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001025135.1,Complete Genome,Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456
Bifidobacterium_dentium,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,1.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001042595.1,Complete Genome,Bifidobacterium dentium JCM 1195 = DSM 20436
Alistipes_onderdonkii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_006542645.1,Complete Genome,Alistipes onderdonkii subsp. vulgaris
Bacteroides_nordii,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_019930665.1,Complete Genome,Bacteroides nordii
Clostridium_asparagiforme,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025149125.1,Complete Genome,[Clostridium] asparagiforme DSM 15981
Sellimonas_intestinalis,Sellimonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_045061075.1,Complete Genome,Sellimonas intestinalis
Roseburia_sp_CAG_182,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
